product_id,name,gender,master_category,article_type,base_colour,season,usage,price
P0001,Blue Men T-shirt,Men,Apparel,T-shirt,Blue,Summer,Casual,43.0
P0002,Blue Men T-shirt,Men,Apparel,T-shirt,Blue,Summer,Casual,87.0
P0003,Blue Women T-shirt,Women,Apparel,T-shirt,Blue,Summer,Casual,51.0
P0004,Blue Women T-shirt,Women,Apparel,T-shirt,Blue,Summer,Casual,95.0
P0005,Blue Unisex T-shirt,Unisex,Apparel,T-shirt,Blue,Summer,Casual,39.0
P0006,Blue Unisex T-shirt,Unisex,Apparel,T-shirt,Blue,Summer,Casual,83.0
P0007,Blue Men Dress,Men,Apparel,Dress,Blue,Spring,Formal,47.0
P0008,Blue Men Dress,Men,Apparel,Dress,Blue,Spring,Formal,91.0
P0009,Blue Women Dress,Women,Apparel,Dress,Blue,Spring,Formal,55.0
P0010,Blue Women Dress,Women,Apparel,Dress,Blue,Spring,Formal,79.0
P0011,Blue Unisex Dress,Unisex,Apparel,Dress,Blue,Spring,Formal,43.0
P0012,Blue Unisex Dress,Unisex,Apparel,Dress,Blue,Spring,Formal,87.0
P0013,Blue Men Shirt,Men,Apparel,Shirt,Blue,Fall,Formal,51.0
P0014,Blue Men Shirt,Men,Apparel,Shirt,Blue,Fall,Formal,95.0
P0015,Blue Women Shirt,Women,Apparel,Shirt,Blue,Fall,Formal,39.0
P0016,Blue Women Shirt,Women,Apparel,Shirt,Blue,Fall,Formal,83.0
P0017,Blue Unisex Shirt,Unisex,Apparel,Shirt,Blue,Fall,Formal,47.0
P0018,Blue Unisex Shirt,Unisex,Apparel,Shirt,Blue,Fall,Formal,91.0
P0019,Blue Men Sneakers,Men,Footwear,Sneakers,Blue,Summer,Sports,55.0
P0020,Blue Men Sneakers,Men,Footwear,Sneakers,Blue,Summer,Sports,79.0
P0021,Blue Women Sneakers,Women,Footwear,Sneakers,Blue,Summer,Sports,43.0
P0022,Blue Women Sneakers,Women,Footwear,Sneakers,Blue,Summer,Sports,87.0
P0023,Blue Unisex Sneakers,Unisex,Footwear,Sneakers,Blue,Summer,Sports,51.0
P0024,Blue Unisex Sneakers,Unisex,Footwear,Sneakers,Blue,Summer,Sports,95.0
P0025,Black Men T-shirt,Men,Apparel,T-shirt,Black,Summer,Casual,39.0
P0026,Black Men T-shirt,Men,Apparel,T-shirt,Black,Summer,Casual,83.0
P0027,Black Women T-shirt,Women,Apparel,T-shirt,Black,Summer,Casual,47.0
P0028,Black Women T-shirt,Women,Apparel,T-shirt,Black,Summer,Casual,91.0
P0029,Black Unisex T-shirt,Unisex,Apparel,T-shirt,Black,Summer,Casual,55.0
P0030,Black Unisex T-shirt,Unisex,Apparel,T-shirt,Black,Summer,Casual,79.0
P0031,Black Men Dress,Men,Apparel,Dress,Black,Spring,Formal,43.0
P0032,Black Men Dress,Men,Apparel,Dress,Black,Spring,Formal,87.0
P0033,Black Women Dress,Women,Apparel,Dress,Black,Spring,Formal,51.0
P0034,Black Women Dress,Women,Apparel,Dress,Black,Spring,Formal,95.0
P0035,Black Unisex Dress,Unisex,Apparel,Dress,Black,Spring,Formal,39.0
P0036,Black Unisex Dress,Unisex,Apparel,Dress,Black,Spring,Formal,83.0
P0037,Black Men Shirt,Men,Apparel,Shirt,Black,Fall,Formal,47.0
P0038,Black Men Shirt,Men,Apparel,Shirt,Black,Fall,Formal,91.0
P0039,Black Women Shirt,Women,Apparel,Shirt,Black,Fall,Formal,55.0
P0040,Black Women Shirt,Women,Apparel,Shirt,Black,Fall,Formal,79.0
P0041,Black Unisex Shirt,Unisex,Apparel,Shirt,Black,Fall,Formal,43.0
P0042,Black Unisex Shirt,Unisex,Apparel,Shirt,Black,Fall,Formal,87.0
P0043,Black Men Sneakers,Men,Footwear,Sneakers,Black,Summer,Sports,51.0
P0044,Black Men Sneakers,Men,Footwear,Sneakers,Black,Summer,Sports,95.0
P0045,Black Women Sneakers,Women,Footwear,Sneakers,Black,Summer,Sports,39.0
P0046,Black Women Sneakers,Women,Footwear,Sneakers,Black,Summer,Sports,83.0
P0047,Black Unisex Sneakers,Unisex,Footwear,Sneakers,Black,Summer,Sports,47.0
P0048,Black Unisex Sneakers,Unisex,Footwear,Sneakers,Black,Summer,Sports,91.0
P0049,White Men T-shirt,Men,Apparel,T-shirt,White,Summer,Casual,55.0
P0050,White Men T-shirt,Men,Apparel,T-shirt,White,Summer,Casual,79.0
P0051,White Women T-shirt,Women,Apparel,T-shirt,White,Summer,Casual,43.0
P0052,White Women T-shirt,Women,Apparel,T-shirt,White,Summer,Casual,87.0
P0053,White Unisex T-shirt,Unisex,Apparel,T-shirt,White,Summer,Casual,51.0
P0054,White Unisex T-shirt,Unisex,Apparel,T-shirt,White,Summer,Casual,95.0
P0055,White Men Dress,Men,Apparel,Dress,White,Spring,Formal,39.0
P0056,White Men Dress,Men,Apparel,Dress,White,Spring,Formal,83.0
P0057,White Women Dress,Women,Apparel,Dress,White,Spring,Formal,47.0
P0058,White Women Dress,Women,Apparel,Dress,White,Spring,Formal,91.0
P0059,White Unisex Dress,Unisex,Apparel,Dress,White,Spring,Formal,55.0
P0060,White Unisex Dress,Unisex,Apparel,Dress,White,Spring,Formal,79.0
P0061,White Men Shirt,Men,Apparel,Shirt,White,Fall,Formal,43.0
P0062,White Men Shirt,Men,Apparel,Shirt,White,Fall,Formal,87.0
P0063,White Women Shirt,Women,Apparel,Shirt,White,Fall,Formal,51.0
P0064,White Women Shirt,Women,Apparel,Shirt,White,Fall,Formal,95.0
P0065,White Unisex Shirt,Unisex,Apparel,Shirt,White,Fall,Formal,39.0
P0066,White Unisex Shirt,Unisex,Apparel,Shirt,White,Fall,Formal,83.0
P0067,White Men Sneakers,Men,Footwear,Sneakers,White,Summer,Sports,47.0
P0068,White Men Sneakers,Men,Footwear,Sneakers,White,Summer,Sports,91.0
P0069,White Women Sneakers,Women,Footwear,Sneakers,White,Summer,Sports,55.0
P0070,White Women Sneakers,Women,Footwear,Sneakers,White,Summer,Sports,79.0
P0071,White Unisex Sneakers,Unisex,Footwear,Sneakers,White,Summer,Sports,43.0
P0072,White Unisex Sneakers,Unisex,Footwear,Sneakers,White,Summer,Sports,87.0
P0073,Red Men T-shirt,Men,Apparel,T-shirt,Red,Summer,Casual,51.0
P0074,Red Men T-shirt,Men,Apparel,T-shirt,Red,Summer,Casual,95.0
P0075,Red Women T-shirt,Women,Apparel,T-shirt,Red,Summer,Casual,39.0
P0076,Red Women T-shirt,Women,Apparel,T-shirt,Red,Summer,Casual,83.0
P0077,Red Unisex T-shirt,Unisex,Apparel,T-shirt,Red,Summer,Casual,47.0
P0078,Red Unisex T-shirt,Unisex,Apparel,T-shirt,Red,Summer,Casual,91.0
P0079,Red Men Dress,Men,Apparel,Dress,Red,Spring,Formal,55.0
P0080,Red Men Dress,Men,Apparel,Dress,Red,Spring,Formal,79.0
P0081,Red Women Dress,Women,Apparel,Dress,Red,Spring,Formal,43.0
P0082,Red Women Dress,Women,Apparel,Dress,Red,Spring,Formal,87.0
P0083,Red Unisex Dress,Unisex,Apparel,Dress,Red,Spring,Formal,51.0
P0084,Red Unisex Dress,Unisex,Apparel,Dress,Red,Spring,Formal,95.0
P0085,Red Men Shirt,Men,Apparel,Shirt,Red,Fall,Formal,39.0
P0086,Red Men Shirt,Men,Apparel,Shirt,Red,Fall,Formal,83.0
P0087,Red Women Shirt,Women,Apparel,Shirt,Red,Fall,Formal,47.0
P0088,Red Women Shirt,Women,Apparel,Shirt,Red,Fall,Formal,91.0
P0089,Red Unisex Shirt,Unisex,Apparel,Shirt,Red,Fall,Formal,55.0
P0090,Red Unisex Shirt,Unisex,Apparel,Shirt,Red,Fall,Formal,79.0
P0091,Red Men Sneakers,Men,Footwear,Sneakers,Red,Summer,Sports,43.0
P0092,Red Men Sneakers,Men,Footwear,Sneakers,Red,Summer,Sports,87.0
P0093,Red Women Sneakers,Women,Footwear,Sneakers,Red,Summer,Sports,51.0
P0094,Red Women Sneakers,Women,Footwear,Sneakers,Red,Summer,Sports,95.0
P0095,Red Unisex Sneakers,Unisex,Footwear,Sneakers,Red,Summer,Sports,39.0
P0096,Red Unisex Sneakers,Unisex,Footwear,Sneakers,Red,Summer,Sports,83.0
